businessZones,city,companyFullName,companyShortName,companySize,createTime,district,education,industryField,industryLables,jobNature,positionId,salary,workYear
"['火车南站', '桂溪']",成都,成都云帆数联科技有限公司,云帆数联,15-50人,2018/5/21 18:40,高新区,本科,"移动互联网,数据服务",[],全职,3597014,8k-10k,1-3年
,成都,贵阳货车帮科技有限公司,货车帮,2000人以上,2018/5/15 0:06,高新区,本科,"移动互联网,电子商务","['金融', '大数据', '数据挖掘', '建模', 'SPSS']",全职,4568862,12k-20k,1-3年
,成都,北京京东世纪贸易有限公司,京东集团,2000人以上,2018/5/21 10:19,武侯区,本科,"电子商务,数据服务",[],全职,4395837,15k-30k,3-5年
['华阳'],成都,成都极娱网络科技有限公司,QuickSDK,15-50人,2018/5/21 15:05,高新区,本科,"移动互联网,企业服务","['游戏', '中级', '大数据']",全职,3918460,10k-20k,不限
,成都,成都熙御网络科技有限公司,来一火火锅外送行家,150-500人,2018/5/15 17:00,高新区,本科,"移动互联网,O2O",[],全职,4574654,3k-5k,1-3年
"['沙湾', '西南交大', '九里堤']",成都,四川鱼鳞图信息技术股份有限公司,四川鱼鳞图,500-2000人,2018/5/21 9:55,金牛区,大专,"移动互联网,数据服务",[],全职,4511354,7k-14k,3-5年
"['紫荆', '火车南站', '桐梓林']",成都,四川商道纵横网络科技有限公司,联合商道,150-500人,2018/5/22 17:38,武侯区,本科,"移动互联网,企业服务",[],全职,4594143,10k-15k,1-3年
['新都'],成都,亚信科技（中国）有限公司,亚信,2000人以上,2018/5/4 9:20,新都区,本科,企业服务、移动互联网,"['金融', '大数据', '数据挖掘']",全职,4038118,6k-12k,3-5年
['科华北路'],成都,成都宝钻信息技术咨询有限公司,宝钻信息有限公司,50-150人,2018/5/15 16:38,武侯区,大专,"数据服务,金融",[],全职,4574382,8K-12K,1-3年
,成都,成都品果科技有限公司,Camera360,150-500人,2018/5/21 9:24,高新区,本科,移动互联网,[],全职,4483191,8k-15k,1-3年
,成都,四川驹马企业管理有限公司,四川驹马,150-500人,2018/5/23 11:09,锦江区,本科,"移动互联网,其他","['金融', '电商', '物流', '大数据']",全职,4169315,15k-22k,3-5年
,成都,成都利驰数据技术股份有限公司,利驰数据,50-150人,2018/5/21 11:50,高新区,本科,"移动互联网,数据服务","['金融', '实习生', '大数据', '数据挖掘']",实习,4571318,2k-4k,应届毕业生
"['石羊', '火车南站']",成都,成都亿嘉联创科技有限公司,亿嘉联创,15-50人,2018/5/22 17:04,高新区,本科,"企业服务,移动互联网",[],全职,3058844,5k-10k,1-3年
['中和'],成都,成都十目八科技有限公司,十目八科技,50-150人,2018/5/22 8:56,高新区,不限,"电子商务,广告营销","['电商', '中级', '初级', '数据挖掘', 'SPSS']",全职,4307326,5k-10k,1-3年
"['春熙路', '红星路']",成都,北京数起科技有限公司,数起科技,50-150人,2018/5/16 20:06,锦江区,本科,移动互联网,[],全职,4553976,4k-6k,1-3年
['华阳'],成都,成都知数科技有限公司,卧龙大数据,50-150人,2018/5/8 9:32,高新区,不限,"移动互联网,数据服务",[],全职,4532735,10k-12k,1-3年
"['盐市口', '督院街', '春熙路']",成都,四川摩奇信息技术有限公司,Mokitech,150-500人,2018/5/21 15:15,锦江区,本科,游戏,[],全职,1872662,5k-7k,不限
,成都,成都米珈科技有限公司,米珈科技,150-500人,2018/5/23 11:02,高新区,本科,"移动互联网,电子商务","['金融', '市场', '行业研究']",全职,4613489,4k-8k,1-3年
